MovieCode,Period,Crores,actor,STATUS
BDCQ.SED2ROS,2016.03,,Y,R
BDCQ.SED2ROS,2016.06,,Y,R
BDCQ.SED2ROS,2016.09,,Y,R
BDCQ.SED2ROS,2016.12,,Y,R
BDCQ.SED2ROS,2017.03,,Y,R
BDCQ.SED2ROS,2017.06,,Y,R
BDCQ.SED2ROS,2017.09,,Y,R
BDCQ.SED2ROS,2017.12,,Y,R
BDCQ.SED2ROS,2018.03,,Y,R
BDCQ.SED2ROS,2018.06,,Y,R
BDCQ.SED2ROS,2018.09,,Y,R
BDCQ.SED2ROS,2018.12,,Y,R
BDCQ.SED2ROS,2019.03,,Y,R
BDCQ.SED2ROS,2019.06,,Y,R
BDCQ.SED2ROS,2019.09,,Y,R
BDCQ.SED2ROS,2019.12,,Y,R
BDCQ.SED2ROS,2020.03,,Y,R
BDCQ.SED2ROS,2020.06,,Y,F
BDCQ.SED2ROS,2020.09,,Y,F
BDCQ.SED2ROS,2020.12,,Y,F
BDCQ.SED2ROT,2011.06,,Y,C
BDCQ.SED2ROT,2011.09,,Y,C
BDCQ.SED2ROT,2011.12,,Y,C
BDCQ.SED2ROT,2012.03,,Y,C
BDCQ.SED2ROT,2012.06,,Y,C
BDCQ.SED2ROT,2012.09,,Y,C
BDCQ.SED2ROT,2012.12,,Y,C
BDCQ.SED2ROT,2013.03,,Y,C
BDCQ.SED2ROT,2013.06,,Y,C
BDCQ.SED2ROT,2013.09,,Y,C
BDCQ.SED2ROT,2013.12,,Y,C
BDCQ.SED2ROT,2014.03,,Y,C
BDCQ.SED2ROT,2014.06,,Y,C
BDCQ.SED2ROT,2014.09,,Y,C
BDCQ.SED2ROT,2014.12,,Y,C
BDCQ.SED2ROT,2015.03,,Y,C
BDCQ.SED2ROT,2015.06,,Y,C
BDCQ.SED2ROT,2015.09,,Y,C
BDCQ.SED2ROT,2015.12,,Y,C
BDCQ.SED2ROT,2016.03,,Y,C
BDCQ.SED2ROT,2016.06,,Y,C
BDCQ.SED2ROT,2016.09,,Y,C
BDCQ.SED2ROT,2016.12,,Y,C
BDCQ.SED2ROT,2017.03,,Y,C
BDCQ.SED2ROT,2017.06,,Y,C
BDCQ.SED2ROT,2017.09,,Y,C
BDCQ.SED2ROT,2017.12,,Y,C
BDCQ.SED2ROT,2018.03,,Y,C
BDCQ.SED2ROT,2018.06,,Y,C
BDCQ.SED2ROT,2018.09,,Y,C
BDCQ.SED2ROT,2018.12,,Y,C
BDCQ.SED2ROT,2019.03,,Y,C
BDCQ.SED2ROT,2019.06,,Y,C
BDCQ.SED2ROT,2019.09,,Y,C
BDCQ.SED2ROT,2019.12,,Y,C
BDCQ.SED2ROT,2020.03,,Y,C
BDCQ.SED2ROT,2020.06,,Y,C
BDCQ.SED2ROT,2020.09,,Y,C
BDCQ.SED2ROT,2020.12,,Y,C
BDCQ.SED2RPA,2011.06,440.961698,,R
BDCQ.SED2RPA,2011.09,410.362842,,R
BDCQ.SED2RPA,2011.12,453.251324,,R
BDCQ.SED2RPA,2012.03,455.632494,,R
BDCQ.SED2RPA,2012.06,456.974185,,R
BDCQ.SED2RPA,2012.09,432.973143,,R
BDCQ.SED2RPA,2012.12,473.229822,,R
BDCQ.SED2RPA,2013.03,469.849664,,R
BDCQ.SED2RPA,2013.06,472.477938,,R
BDCQ.SED2RPA,2013.09,443.48411,,R
BDCQ.SED2RPA,2013.12,498.463357,,R
BDCQ.SED2RPA,2014.03,483.099781,,R
BDCQ.SED2RPA,2014.06,497.799358,,R
BDCQ.SED2RPA,2014.09,474.162805,,R
BDCQ.SED2RPA,2014.12,520.254009,,R
BDCQ.SED2RPA,2015.03,512.680735,,R
BDCQ.SED2RPA,2015.06,516.076122,,R
BDCQ.SED2RPA,2015.09,497.111394,,R
BDCQ.SED2RPA,2015.12,528.910142,,R
BDCQ.SED2RPA,2016.03,547.576145,,R
BDCQ.SED2RPA,2016.06,522.256893,,R
BDCQ.SED2RPA,2016.09,499.758449,,R
BDCQ.SED2RPA,2016.12,550.276422,,R
BDCQ.SED2RPA,2017.03,548.660732,,R
BDCQ.SED2RPA,2017.06,548.062712,,R
BDCQ.SED2RPA,2017.09,529.606341,,R
BDCQ.SED2RPA,2017.12,584.729726,,R
BDCQ.SED2RPA,2018.03,575.898192,,R
BDCQ.SED2RPA,2018.06,589.65643,,R
BDCQ.SED2RPA,2018.09,570.073522,,R
BDCQ.SED2RPA,2018.12,627.7224,,R
BDCQ.SED2RPA,2019.03,600.290382,,R
BDCQ.SED2RPA,2019.06,614.776754,,R
BDCQ.SED2RPA,2019.09,582.650619,,R
BDCQ.SED2RPA,2019.12,651.465443,,R
BDCQ.SED2RPA,2020.03,608.638014,,R
BDCQ.SED2RPA,2020.06,604.818909,,R
BDCQ.SED2RPA,2020.09,608.965705,,R
BDCQ.SED2RPA,2020.12,642.66618,,R
BDCQ.SED2RPA,2021.03,645.014093,,R
BDCQ.SED2RPA,2021.06,656.598145,,R
BDCQ.SED2RPA,2021.09,641.15335,,R
BDCQ.SED2RPA,2021.12,699.928155,,R
BDCQ.SED2RPA,2022.03,696.836997,,F
BDCQ.SED2RPS,2011.06,,Y,R
BDCQ.SED2RPS,2011.09,,Y,R
BDCQ.SED2RPS,2011.12,,Y,R
BDCQ.SED2RPS,2012.03,,Y,R
BDCQ.SED2RPS,2012.06,,Y,R
BDCQ.SED2RPS,2012.09,,Y,R
BDCQ.SED2RPS,2012.12,,Y,R
BDCQ.SED2RPS,2013.03,,Y,R
BDCQ.SED2RPS,2013.06,,Y,R
